127       CORNING                                 298   CORNING             NY   14831     40700     
128       COSTCO                                  16    ISSAQUAH            WA   98027     172000    
129       CROWN HOLDINGS                          333   PHILADELPHIA        PA   19154     23992     
130       CST BRANDS                              307   SAN ANTONIO         TX   78259     12380     
131       CSX                                     257   JACKSONVILLE        FL   32202     26628     
132       CUMMINS                                 159   COLUMBUS            IN   47201     55400     
133       CVS HEALTH                              7     WOONSOCKET          RI   2895      204000    
134       D.R. HORTON                             232   FORT WORTH          TX   76102     6976      
135       DANA HOLDING                            447   MAUMEE              OH   43537     24900     
136       DANAHER                                 144   WASHINGTON          DC   20037     62000     
137       DARDEN RESTAURANTS                      385   ORLANDO             FL   32837     150942    
138       DAVITA HEALTHCARE PARTNERS              181   DENVER              CO   80202     70300     
139       DEAN FOODS                              351   DALLAS              TX   75204     17000     
140       DEERE                                   105   MOLINE              IL   61265     56767     
141       DELEK US HOLDINGS                       480   BRENTWOOD           TN   37027     1326      
142       DELL TECHNOLOGIES                       41    ROUND ROCK          TX   78682     138000    
143       DELTA AIR LINES                         71    ATLANTA             GA   30354     83756     
144       DEVON ENERGY                            231   OKLAHOMA CITY       OK   73102     3545      
145       DICK'S SPORTING GOODS                   340   CORAOPOLIS          PA   15108     27550     
146       DILLARD'S                               417   LITTLE ROCK         AR   72201     30800     
147       DISCOVER FINANCIAL SERVICES             277   RIVERWOODS          IL   60015     15549     
148       DISCOVERY COMMUNICATIONS                412   SILVER SPRING       MD   20910     7000      
149       DISH NETWORK                            186   ENGLEWOOD           CO   80112     16000     
150       DISNEY                                  52    BURBANK             CA   91521     195000    
151       DOLLAR GENERAL                          128   GOODLETTSVILLE      TN   37072     121000    
152       DOLLAR TREE                             136   CHESAPEAKE          VA   23320     116050    
153       DOMINION RESOURCES                      238   RICHMOND            VA   23219     16200     
154       DOVER                                   392   DOWNERS GROVE       IL   60515     29000     
155       DOW CHEMICAL                            62    MIDLAND             MI   48674     56000     
156       DR PEPPER SNAPPLE GROUP                 416   PLANO               TX   75024     20000     
157       DTE ENERGY                              272   DETROIT             MI   48226     10000     
158       DUKE ENERGY                             121   CHARLOTTE           NC   28202     28798     
159       DUPONT                                  113   WILMINGTON          DE   19898     46000     
160       EASTMAN CHEMICAL                        309   KINGSPORT           TN   37660     14000     
161       EBAY                                    310   SAN JOSE            CA   95125     12600     
162       ECOLAB                                  211   SAINT PAUL          MN   55102     47565     
163       EDISON INTERNATIONAL                    235   ROSEMEAD            CA   91770     12390     
164       ELI LILLY                               132   INDIANAPOLIS        IN   46285     41975     
165       EMCOR GROUP                             360   NORWALK             CT   6851      31000     
166       EMERSON ELECTRIC                        139   SAINT LOUIS         MO   63136     103500    
167       ENERGY TRANSFER EQUITY                  79    DALLAS              TX   75225     30992     
168       ENTERGY                                 263   NEW ORLEANS         LA   70113     13513     
169       ENTERPRISE PRODUCTS PARTNERS            122   HOUSTON             TX   77002     6800      
170       EOG RESOURCES                           356   HOUSTON             TX   77002     2650      
171       ERIE INSURANCE GROUP                    382   ERIE                PA   16530     4988      
172       ESSENDANT                               487   DEERFIELD           IL   60015     6600      
173       ESTEE LAUDER                            253   NEW YORK            NY   10153     46000     
174       EVERSOURCE ENERGY                       358   SPRINGFIELD         MA   1104      7762      
175       EXELON                                  89    CHICAGO             IL   60603     34396     
176       EXPEDIA                                 317   BELLEVUE            WA   98004     20075     
177       EXPEDITORS INTERNATIONAL OF WASHINGTON  429   SEATTLE             WA   98104     16000     
178       EXPRESS SCRIPTS HOLDING                 22    SAINT LOUIS         MO   63121     25600     
179       EXXON MOBIL                             4     IRVING              TX   75039     72700     
180       FACEBOOK                                98    MENLO PARK          CA   94025     17048     
181       FANNIE MAE                              20    WASHINGTON          DC   20016     7000      
182       FARMERS INSURANCE EXCHANGE              222   LOS ANGELES         CA   90010     13309     
183       FEDEX                                   58    MEMPHIS             TN   38120     335767    
184       FIDELITY NATIONAL FINANCIAL             293   JACKSONVILLE        FL   32204     55219     
185       FIDELITY NATIONAL INFORMATION SERVICES  301   JACKSONVILLE        FL   32204     55000     
186       FIFTH THIRD BANCORP                     389   CINCINNATI          OH   45263     17844     
187       FIRST AMERICAN FINANCIAL                464   SANTA ANA           CA   92707     19531     
188       FIRST DATA                              242   ATLANTA             GA   30342     24000     
189       FIRSTENERGY                             196   AKRON               OH   44308     15707     
190       FISERV                                  471   BROOKFIELD          WI   53405     23000     
191       FLUOR                                   149   IRVING              TX   75039     61551     
192       FOOT LOCKER                             348   NEW YORK            NY   10120     32965     
193       FORD MOTOR                              10    DEARBORN            MI   48126     201000    
194       FRANKLIN RESOURCES                      405   SAN MATEO           CA   94403     9059      
195       FREDDIE MAC                             39    MCLEAN              VA   22102     5982      
196       FREEPORT-MCMORAN                        175   PHOENIX             AZ   85004     30000     
197       FRONTIER COMMUNICATIONS                 313   NORWALK             CT   6851      28332     
198       GAMESTOP                                321   GRAPEVINE           TX   76051     41750     
199       GAP                                     178   SAN FRANCISCO       CA   94105     135000    
200       GENERAL DYNAMICS                        90    FALLS CHURCH        VA   22042     98800     
201       GENERAL ELECTRIC                        13    FAIRFIELD           CT   6828      295000    
202       GENERAL MILLS                           165   MINNEAPOLIS         MN   55426     39000     
203       GENERAL MOTORS                          8     DETROIT             MI   48265     225000    
204       GENESIS HEALTHCARE                      454   KENNETT SQUARE      PA   19348     82000     
205       GENUINE PARTS                           180   ATLANTA             GA   30339     40000     
206       GENWORTH FINANCIAL                      329   RICHMOND            VA   23230     3400      
207       GILEAD SCIENCES                         92    FOSTER CITY         CA   94404     9000      
208       GLOBAL PARTNERS                         334   WALTHAM             MA   2453      1770      
209       GOLDMAN SACHS GROUP                     78    NEW YORK            NY   10282     34400     
210       GOODYEAR TIRE & RUBBER                  184   AKRON               OH   44316     66000     
211       GRAYBAR ELECTRIC                        420   SAINT LOUIS         MO   63105     8500      
212       GROUP 1 AUTOMOTIVE                      261   HOUSTON             TX   77024     13500     
213       GUARDIAN LIFE INS. CO. OF AMERICA       218   NEW YORK            NY   10004     8876      
214       HALLIBURTON                             173   HOUSTON             TX   77032     50000     
215       HANESBRANDS                             432   WINSTON-SALEM       NC   27105     67800     
216       HARLEY-DAVIDSON                         435   MILWAUKEE           WI   53208     6000      
217       HARMAN INTERNATIONAL INDUSTRIES         386   STAMFORD            CT   6901      26000     
218       HARRIS                                  363   MELBOURNE           FL   32919     21000     
219       HARTFORD FINANCIAL SERVICES GROUP       153   HARTFORD            CT   6155      16900     
220       HCA HOLDINGS                            63    NASHVILLE           TN   37203     210500    
221       HD SUPPLY HOLDINGS                      364   ATLANTA             GA   30339     14000     
222       HENRY SCHEIN                            243   MELVILLE            NY   11747     21000     
223       HERSHEY                                 369   HERSHEY             PA   17033     17140     
224       HERTZ GLOBAL HOLDINGS                   296   ESTERO              FL   33928     36000     
225       HEWLETT PACKARD ENTERPRISE              59    PALO ALTO           CA   94304     195000    
226       HILTON WORLDWIDE HOLDINGS               241   MCLEAN              VA   22102     169000    
227       HOLLYFRONTIER                           274   DALLAS              TX   75201     2676      
228       HOME DEPOT                              23    ATLANTA             GA   30339     406000    
229       HONEYWELL INTERNATIONAL                 73    MORRIS TOWNSHIP     NJ   7962      131000    
230       HORMEL FOODS                            295   AUSTIN              MN   55912     21100     
231       HOST HOTELS & RESORTS                   472   BETHESDA            MD   20817     220000    
232       HP                                      61    PALO ALTO           CA   94304     49000     
233       HRG GROUP                               418   NEW YORK            NY   10022     16021     
234       HUMANA                                  53    LOUISVILLE          KY   40202     51600     
235       HUNTINGTON INGALLS INDUSTRIES           380   NEWPORT NEWS        VA   23607     37000     
236       HUNTSMAN                                289   SALT LAKE CITY      UT   84108     15000     
237       IBM                                     32    ARMONK              NY   10504     414400    
238       ICAHN ENTERPRISES                       168   NEW YORK            NY   10153     90980     
239       IHEARTMEDIA                             426   SAN ANTONIO         TX   78209     18700     
240       ILLINOIS TOOL WORKS                     202   GLENVIEW            IL   60026     50000     
241       INGREDION                               456   WESTCHESTER         IL   60154     11000     
242       INSIGHT ENTERPRISES                     473   TEMPE               AZ   85283     5930      
243       INTEL                                   47    SANTA CLARA         CA   95054     106000    
244       INTERCONTINENTAL EXCHANGE               437   ATLANTA             GA   30328     5631      
245       INTERNATIONAL PAPER                     133   MEMPHIS             TN   38197     55000     
246       INTERPUBLIC GROUP                       345   NEW YORK            NY   10036     49800     
247       INTL FCSTONE                            189   NEW YORK            NY   10017     1464      
248       J.B. HUNT TRANSPORT SERVICES            407   LOWELL              AR   72745     22190     
249       J.C. PENNEY                             221   PLANO               TX   75024     106000    
250       J.M. SMUCKER                            346   ORRVILLE            OH   44667     6910      
251       J.P. MORGAN CHASE                       21    NEW YORK            NY   10017     243355    
252       JABIL CIRCUIT                           152   SAINT PETERSBURG    FL   33716     138000    
253       JACOBS ENGINEERING GROUP                259   DALLAS              TX   75201     49350     
254       JETBLUE AIRWAYS                         403   LONG ISLAND CITY    NY   11101     15986     
255       JOHNSON & JOHNSON                       35    NEW BRUNSWICK       NJ   8933      126400    
256       JONES FINANCIAL                         404   DES PERES           MO   63131     43000     
257       JONES LANG LASALLE                      391   CHICAGO             IL   60601     77300     
258       KELLOGG                                 216   BATTLE CREEK        MI   49017     37369     
259       KELLY SERVICES                          490   TROY                MI   48084     7500      
260       KEYCORP                                 479   CLEVELAND           OH   44114     15700     
261       KIMBERLY-CLARK                          155   IRVING              TX   75038     42000     
262       KINDER MORGAN                           215   HOUSTON             TX   77002     11121     
263       KINDRED HEALTHCARE                      376   LOUISVILLE          KY   40202     76650     
264       KOHL'S                                  150   MENOMONEE FALLS     WI   53051     85000     
265       KRAFT HEINZ                             106   CHICAGO             IL   60601     41000     
266       KROGER                                  18    CINCINNATI          OH   45202     443000    
267       L BRANDS                                220   COLUMBUS            OH   43230     59100     
268       L-3 COMMUNICATIONS                      273   NEW YORK            NY   10016     38000     
269       LABORATORY CORP. OF AMERICA             290   BURLINGTON          NC   27215     52000     
270       LAM RESEARCH                            440   FREMONT             CA   94538     7500      
271       LAND O'LAKES                            209   ARDEN HILLS         MN   55126     10000     
272       LAS VEGAS SANDS                         249   LAS VEGAS           NV   89109     49000     
273       LEAR                                    151   SOUTHFIELD          MI   48033     148400    
274       LEIDOS HOLDINGS                         381   RESTON              VA   20190     32000     
275       LENNAR                                  260   MIAMI               FL   33172     8335      
276       LEUCADIA NATIONAL                       262   NEW YORK            NY   10022     13000     
277       LEVEL 3 COMMUNICATIONS                  336   BROOMFIELD          CO   80021     12600     
278       LIBERTY INTERACTIVE                     269   ENGLEWOOD           CO   80112     21080     
279       LIBERTY MEDIA                           491   ENGLEWOOD           CO   80112     3626      
